userName,score,content,at,sentiment,cluster
OG Okin,1,"My host was allowed to keep $1045.63 . The listing was surrounded by bushes, and we never checked in due to terrible crime and safety in the neighborhood. Airbnb allows the host to use a non-refundable policy to defraud guests and compel us to stay or forfeit our money. This is totally unacceptable in the hospitality industry. GUEST IS NOT PRIORITY TO THIS COMPANY. Users is all that counts. Airbnb removed my review because they said it was not relevant to my stay- a stay i never had.",2025-05-19 22:06:03,-0.33125,1
Gabriel Babin,1,new update is terrible please fix,2025-05-19 19:57:58,-0.4318181818181818,1
Liviu Marin,2,"extremely high fees. zero customer support. landlords can be abusive and airbnb gives an ai generated answer, and refuses to let me post a review about it.",2025-05-19 19:54:51,0.16,1
Emmanuel Veigas,5,A 100 percent recommended,2025-05-19 17:26:09,0.0,1
Denise Franks,5,"it is very user friendly, making the search for a home so easy. I really like that you can now see the total cost of the home you are viewing.",2025-05-19 12:57:20,0.2416666666666666,1
А_a К_k,1,"Appalling support. The apartment is filthy, the so-called “cleaning” is a joke, and Airbnb support completely ignored my complaint and refused to refund anything. I’m stuck paying for this disgrace - a cleaning fee for a service that was never done - and now I have to spend two nights in this disgusting place in Gdańsk. Absolute failure on every level. Shame on you.",2025-05-19 12:48:44,-0.3523809523809523,1
Manuel Barr,1,"The new app seems to want the attention on the new experiences maybe a corporate move to influence the added features. overall a disgrace to the normal users. The search is obviously broken. How do we find a specific home, I guess scroll till your fingers get tired. Horrible update. I'm guessing it's the starting faze and hopefully not a facet. Most likely trying to see what the users are doing with the new features. a waste for whoever wanted to go out to an extraordinary location. Boo 👎",2025-05-19 11:40:58,-0.0405050505050505,1
Busi Emily,1,"Putting my payment on hold is a very bad experience to me as a host even now ,I'm still going to wait for 5 to 7working days ,what that for a person whose running a business, I need my payments immediately can't wait .I'm not happy with your service, it shows that you don't care about us ,running a guesthouse needs maintainable",2025-05-19 11:20:14,-0.6549999999999999,1
Kurtis E,1,"anyone else log in, and just get a white screen with only log out at top right?",2025-05-19 10:36:57,0.1964285714285714,1
Cynn Moses,5,Ease of use,2025-05-19 09:54:13,0.0,1
Angelika Parr,4,"Simple and easy sight to use,hundreds off destinations, and you can pick the price you can afford.",2025-05-19 07:15:05,0.2166666666666666,1
Adrian Duncan,5,Always look at AirBnB for accommodation options when away from home.,2025-05-19 06:57:22,0.0,1
Rhoda Baluhya,5,cheapest prices,2025-05-19 05:49:45,0.0,1
Simon Ferrier,1,this new update is terrible. it now won't show me my trips unless I update my personal profile. I've cooked though and updated it but it still tells me to update it again. I'm trying to get the address of the property I'm staying at next week and it won't let me go into the trip details.,2025-05-19 05:35:13,-0.2159090909090909,1
Diogo Henriques,1,"they're cooperating with scammer hosts without proper arguments, it's disgusting guys",2025-05-19 05:33:00,-0.5,1
Robert Lupton,3,confusing as it looks like you have created a second account for me,2025-05-19 05:19:14,-0.15,1
Desiree Smith,5,Convenient and professional,2025-05-19 04:22:37,0.1,1
Dale Peter,5,Such an easy app to use for accommodation.,2025-05-19 02:34:53,0.2166666666666666,1
